x,y,height
-51,5,-4
-51,6,-3
-51,7,-1
-51,8,1
-51,9,2
-51,10,2
-51,11,2
-51,12,2
-51,13,2
-51,14,2
-51,15,2
-51,16,2
-51,17,2
-51,18,2
-51,19,2
-51,20,2
-51,21,2
-51,22,2
-51,23,2
-51,24,2
-51,25,2
-51,26,2
-51,27,2
-51,28,2
-51,29,2
-51,30,2
-51,31,2
-51,32,2
-51,33,2
-51,34,2
-51,35,2
-51,36,2
-51,37,2
-51,38,2
-51,39,2
-51,40,2
-51,41,2
-51,42,2
-51,43,2
-51,44,2
-51,45,2
-51,46,2
-51,47,2
-51,48,2
-51,49,1
-51,50,0
-51,51,-1
-51,52,-2
-51,53,-3
-51,54,-4
-51,55,-4
-51,56,-4
-51,57,-4
-51,58,-4
-51,59,-3
-51,60,-3
-50,-46,12
-50,-45,12
-50,-44,11
-50,-43,10
-50,-42,10
-50,-41,8
-50,-40,5
-50,-39,3
-50,-38,2
-50,-37,2
-50,-36,2
-50,-35,2
-50,-34,2
-50,-33,2
-50,-32,2
-50,-31,2
-50,-30,2
-50,-29,0
-50,-28,-2
-50,-27,-3
-50,-26,-4
-50,-25,-4
-50,-24,-4
-50,-23,-4
-50,-22,-4
-50,-21,-4
-50,-20,-5
-50,-19,-5
-50,-18,-5
-50,-17,-5
-50,-16,-5
-50,-15,-5
-50,-14,-5
-50,-13,-5
-50,-12,-5
-50,-11,-5
-50,-10,-5
-50,-9,-5
-50,-8,-5
-50,-7,-5
-50,-6,-5
-50,-5,-5
-50,-4,-5
-50,-3,-5
-50,-2,-5
-50,-1,-5
-50,0,-4
-50,1,-4
-50,2,-4
-50,3,-4
-50,4,-4
-50,5,-4
-50,6,-4
-50,7,-4
-50,8,-3
-50,9,-1
-50,10,1
-50,11,2
-50,12,2
-50,13,2
-50,14,2
-50,15,2
-50,16,2
-50,17,2
-50,18,2
-50,19,2
-50,20,2
-50,21,2
-50,22,2
-50,23,2
-50,24,2
-50,25,2
-50,26,2
-50,27,2
-50,28,2
-50,29,2
-50,30,2
-50,31,2
-50,32,2
-50,33,2
-50,34,2
-50,35,2
-50,36,2
-50,37,2
-50,38,2
-50,39,2
-50,40,2
-50,41,2
-50,42,2
-50,43,2
-50,44,2
-50,45,2
-50,46,2
-50,47,1
-50,48,-1
-50,49,-3
-50,50,-4
-50,51,-4
-50,52,-4
-50,53,-4
-50,54,-4
-50,55,-4
-50,56,-4
-50,57,-4
-50,58,-4
-50,59,-4
-50,60,-4
-49,-47,12
-49,-46,11
-49,-45,10
-49,-44,9
-49,-43,7
-49,-42,4
-49,-41,3
-49,-40,2
-49,-39,2
-49,-38,2
-49,-37,2
-49,-36,2
-49,-35,2
-49,-34,2
-49,-33,2
-49,-32,1
-49,-31,0
-49,-30,-2
-49,-29,-4
-49,-28,-4
-49,-27,-4
-49,-26,-4
-49,-25,-4
-49,-24,-4
-49,-23,-4
-49,-22,-4
-49,-21,-5
-49,-20,-5
-49,-19,-5
-49,-18,-5
-49,-17,-5
-49,-16,-5
-49,-15,-4
-49,-14,-4
-49,-13,-4
-49,-12,-4
-49,-11,-5
-49,-10,-5
-49,-9,-5
-49,-8,-5
-49,-7,-5
-49,-6,-5
-49,-5,-5
-49,-4,-5
-49,-3,-5
-49,-2,-5
-49,-1,-5
-49,0,-5
-49,1,-5
-49,2,-5
-49,3,-4
-49,4,-4
-49,5,-4
-49,6,-4
-49,7,-4
-49,8,-4
-49,9,-4
-49,10,-4
-49,11,-3
-49,12,-2
-49,13,-1
-49,14,-1
-49,15,-1
-49,16,-2
-49,17,-2
-49,18,-2
-49,19,-2
-49,20,-1
-49,21,-1
-49,22,0
-49,23,1
-49,24,2
-49,25,2
-49,26,2
-49,27,2
-49,28,2
-49,29,2
-49,30,2
-49,31,2
-49,32,2
-49,33,2
-49,34,2
-49,35,2
-49,36,2
-49,37,2
-49,38,2
-49,39,2
-49,40,2
-49,41,2
-49,42,2
-49,43,2
-49,44,2
-49,45,2
-49,46,-1
-49,47,-3
-49,48,-4
-49,49,-4
-49,50,-4
-49,51,-4
-49,52,-4
-49,53,-4
-49,54,-4
-49,55,-4
-49,56,-4
-49,57,-4
-49,58,-4
-49,59,-4
-49,60,-4
-48,-49,12
-48,-48,11
-48,-47,10
-48,-46,9
-48,-45,6
-48,-44,3
-48,-43,2
-48,-42,2
-48,-41,2
-48,-40,2
-48,-39,2
-48,-38,2
-48,-37,2
-48,-36,2
-48,-35,2
-48,-34,0
-48,-33,-1
-48,-32,-3
-48,-31,-4
-48,-30,-4
-48,-29,-4
-48,-28,-4
-48,-27,-4
-48,-26,-4
-48,-25,-4
-48,-24,-4
-48,-23,-5
-48,-22,-5
-48,-21,-5
-48,-20,-5
-48,-19,-5
-48,-18,-4
-48,-17,-3
-48,-16,-3
-48,-15,-3
-48,-14,-3
-48,-13,-3
-48,-12,-3
-48,-11,-3
-48,-10,-3
-48,-9,-4
-48,-8,-5
-48,-7,-5
-48,-6,-5
-48,-5,-5
-48,-4,-5
-48,-3,-5
-48,-2,-5
-48,-1,-5
-48,0,-5
-48,1,-5
-48,2,-5
-48,3,-5
-48,4,-5
-48,5,-5
-48,6,-4
-48,7,-4
-48,8,-4
-48,9,-4
-48,10,-4
-48,11,-4
-48,12,-4
-48,13,-4
-48,14,-4
-48,15,-4
-48,16,-4
-48,17,-4
-48,18,-4
-48,19,-4
-48,20,-4
-48,21,-4
-48,22,-4
-48,23,-3
-48,24,-3
-48,25,-2
-48,26,0
-48,27,1
-48,28,1
-48,29,2
-48,30,2
-48,31,2
-48,32,2
-48,33,2
-48,34,2
-48,35,2
-48,36,2
-48,37,2
-48,38,2
-48,39,2
-48,40,2
-48,41,2
-48,42,2
-48,43,2
-48,44,1
-48,45,-2
-48,46,-4
-48,47,-4
-48,48,-4
-48,49,-4
-48,50,-4
-48,51,-4
-48,52,-4
-48,53,-4
-48,54,-4
-48,55,-4
-48,56,-4
-48,57,-4
-48,58,-4
-48,59,-4
-48,60,-4
-47,-50,12
-47,-49,11
-47,-48,9
-47,-47,5
-47,-46,3
-47,-45,2
-47,-44,2
-47,-43,2
-47,-42,2
-47,-41,2
-47,-40,2
-47,-39,2
-47,-38,2
-47,-37,1
-47,-36,0
-47,-35,-2
-47,-34,-3
-47,-33,-4
-47,-32,-4
-47,-31,-4
-47,-30,-4
-47,-29,-4
-47,-28,-4
-47,-27,-4
-47,-26,-4
-47,-25,-4
-47,-24,-5
-47,-23,-5
-47,-22,-5
-47,-21,-5
-47,-20,-5
-47,-19,-4
-47,-18,-3
-47,-17,-3
-47,-16,-3
-47,-15,-3
-47,-14,-3
-47,-13,-3
-47,-12,-3
-47,-11,-3
-47,-10,-3
-47,-9,-3
-47,-8,-4
-47,-7,-5
-47,-6,-5
-47,-5,-5
-47,-4,-5
-47,-3,-5
-47,-2,-5
-47,-1,-5
-47,0,-5
-47,1,-5
-47,2,-5
-47,3,-5
-47,4,-5
-47,5,-5
-47,6,-5
-47,7,-5
-47,8,-4
-47,9,-4
-47,10,-4
-47,11,-4
-47,12,-4
-47,13,-4
-47,14,-4
-47,15,-4
-47,16,-4
-47,17,-4
-47,18,-4
-47,19,-4
-47,20,-4
-47,21,-4
-47,22,-4
-47,23,-4
-47,24,-4
-47,25,-4
-47,26,-4
-47,27,-4
-47,28,-3
-47,29,-2
-47,30,-1
-47,31,0
-47,32,1
-47,33,1
-47,34,2
-47,35,2
-47,36,2
-47,37,2
-47,38,2
-47,39,2
-47,40,2
-47,41,2
-47,42,1
-47,43,0
-47,44,-3
-47,45,-4
-47,46,-4
-47,47,-4
-47,48,-4
-47,49,-4
-47,50,-4
-47,51,-4
-47,52,-4
-47,53,-4
-47,54,-4
-47,55,-4
-47,56,-4
-47,57,-4
-47,58,-4
-47,59,-4
-47,60,-4
-46,-52,12
-46,-51,11
-46,-50,9
-46,-49,5
-46,-48,3
-46,-47,2
-46,-46,2
-46,-45,2
-46,-44,2
-46,-43,2
-46,-42,2
-46,-41,2
-46,-40,2
-46,-39,1
-46,-38,-1
-46,-37,-3
-46,-36,-3
-46,-35,-3
